Curse Name,Casting Cost,Stops Question,Inform seekers,Card Info,Extra Info
Curse of Water Weight,Seekers must be within 400m of an open grocery store. And within 400m of a body of water.,Yes until aquired,TRUE,"The seekers must acquire and carry at least 2 liters of liquid per seeker for the rest of your run. They cannot ask another question until they have acquired the liquid. The water may be distributed between seekers as they see fit. If the liquid is lost or abandoned at any point after acquisition, the hider is awarded a  30 minute bonus.","Any liquid already traveling with the seekers at the time that this card is played (e.g. water bottles) does not count. The liquid can be in any number of containers, and can be passed back and forth between the seekers at any time. The liquid can be sat down when the seekers are stationary or on transit, but it is considered ""abandoned"" once it is no longer within 10 feet of any seeker. The hider must be informed of their bonus immediately. ""Body of water"" within this context does not necessarily mean natural, but it cannot be a pool and must be large enough to be marked on the map."
Curse of the Shrewd Critic,Seekers must be currently off-transit within 150 meters of a location that has at least a 4.3 star average rating on Google Maps.,Yes,TRUE,"Without using the internet, the seekers must find and visit a location (going inside or immediately outside) that has at least a 4.3 star average rating on Google Maps before asking another question. If their guess was wrong, they must wait 2 minutes before guessing another location. They cannot be on transit when submitting a guess.","If the guessed location does not have a Google pin or any reviews, seekers may make another guess immediately. ""Off-transit"" means that players have physically disembarked their last form of transit and that it has left the station (i.e. you cannot temporarily step off a train while it's stopped to fulfill the condition.)"
Curse of the Soothsayer,Discard a curse and a powerup.,No,TRUE,"For the rest of the round, you may choose to predict the next question after each question is asked. If you are right, you earn triple rewards. If you are wrong, you earn no reward.","""Triple rewards"" means that the reward is earned three times in succession, not all at once (i.e. a radar question would have you draw two, keep one, draw two, keep one, draw two, keep one.) If you already have a double reward or similiar its not mutplied but stacked for example a double + a tripple becomes a 4x not a 6x."
Curse of Featherless Flight,Throw and retrieve a paper airplane.,Yes,TRUE,"Construct a paper airplane. You may practice throwing it, but you get one official attempt to measure how far it flies horizontally. The seekers must construct, throw, and retrieve an airplane from at least the same distance before asking another question.","A paper airplane may take any form, but must be constructed entirely from paper. The paper airplane may be thrown from a height in order to achieve extra lateral distance."
Curse of the Mind Meld,Discard a card.,Yes,TRUE,"On the count of three, any two seekers say any word at the same time. Assuming they're not the same word, they must wait 1 minute, and both seekers say a new word that they believe to be the midpoint between the last two words. You may not say any words that have already been said, or do anything at all to indicate what word you will say next
Seekers may not ask another question until they both say the same word.",
Curse of the Zoologist,A photo of an animal.,Yes,TRUE,"Take a photo of a wild fish, bird, mammal, reptile, amphibian, or bug.
The seekers must take a picture of a wild animal in the same category before asking another question.","""Bug"" in this context refers to any insect, arachnid, diplopoda, chilopoda, or anything else that would be colloquially and commonly referred to as a ""bug"". ""Wild"" in this context means undomesticated and not kept in human captivity, including large-scale outdoor instances of captivity, such as farms or sanctuaries. The photo must include enough of the animal to be recognizable within its category. If there is any dispute as to an animal's classification, defer to Wikipedia. Animals outside of any of these categories (such as crustaceans) cannot be used for this curse. The seekers may abondon this question for a 20 mintue penatly period. "
Curse of the Archaeologist,A standard photo of a building or structure.,Yes,TRUE,Send the seekers a photo of a building or structure whose age you can verify to within a century. The seekers must find a building or structure (whose age they can also verify) from the same century or earlier before asking another question.,"""Building or structure"" encompasses any manmade objects. To verify the age, you must have at least one credible source that specifically references that object. Partially rebuilt or renovated structures may use their original build date, but fully rebuilt structures (or structures designed to emulate an older structure) may not."
Curse of the Rewind,The last question must have been asked during the end game.,No,TRUE,Seekers must ask their next question from the exact place they asked their last question.,It is the responsibility of the hider to keep track of where the last question was asked (and therefore where the seekers must return before asking their next question.)
Curse of the Pong Champion,Successfully land the die in three attempts.,Yes,TRUE,"Throw a die into a container (maximum 15 cm in diameter) from any distance you choose. You have three attempts. Seekers must throw a die into a container from the same horizontal distance before asking another question, but must wait 1 minutes between attempts.","Players may not practice or solicit any external support from people outside the game. The hider attempt follows the same parameters as the seeker attempt. The dice must come to rest in the cup; if they enter but bounce out, they are not scored."
Curse of the Plagued Word,Seekers must be at least 2 km km from you. ,No,TRUE,"For the next 45 minutes, asking a question creates a 500 m radius where questions cannot be asked until this curse expires.",The radiuses disapear after 45 minutes.
Curse of the Curious Explorer,Seekers must be off-transit within 1 km of a museum that is open for at least another hour. Discard 2 cards,Yes,TRUE,"Seekers must spend at least 10 minutes in a museum before asking another question. If there is an entry fee, they may wait in the lobby or directly outside.","""Museum"" is anything categorized as a museum by the mapping app you are using. Players may also choose to wait outside if the museum is closed by the time they arrive. ""Off-transit"" means that players have physically disembarked their last form of transit and that it has left the station (i.e. you cannot temporarily step off a train while it's stopped to fulfill the condition.)"
Curse of the Bargain Hunter,A photo of a price tag. The seekers have to be within 400m of an open grocery store.,Yes,TRUE,"Send the seekers a picture of a discounted price tag (or other written discount) that you found in the real world. They must find an item that is equally (or more) discounted, by percentage, before asking another question.",The discount cannot be found online or in a publication; it must be in a store that is selling that item in-person. The discount must be clearly marked as being a discount; it can't just be an item that happens to be cheaper than normal.
Curse of the Prosperous Home,Discard at least 20 minutes worth of time bonuses.,No,TRUE,Expand the radius of your hiding zone by 50%.,Players may not discard part of a time bonus; they must discard cards in their entirety. It is possible that players may have to discard more than the required number of minutes in order to pay for this curse.
Curse of the Gambler's Feet,"Roll a die. If it's an even number, this curse has no effect.",No,TRUE,"For the next 20 minutes, seekers must roll a die before they take any steps in any direction. They may take that many steps before rolling again.","The die rolled for this curse must be a d6. If there are multiple seekers, seekers may choose to roll independently or have one die dictate steps for all seekers at once; either is acceptable. If seekers accidentally take extra steps, they should stop and roll the die retroactively until they have made up for all the unaccounted steps. Seekers cannot take unaccounted steps on purpose. except in situation where it would be unsafe to not take extra steps (such as crossing a busy road.)"
Curse of the Unguided Tourist,Seekers must be outside.,Yes,TRUE,"Send the seekers an unzoomed Google Street View image from a street within 150 meters of where they are now. The shot has to be parallel to the horizon and include at least one human-built structure other than a road. Without using the internet for research, they must find what you sent them in real life before they can use transportation or ask another question. They must send a picture to the hider for verification.","The human-built structure in question cannot be any part of a road, including curbs or sidewalks. If you are playing in a country or area with highly limited Google Street View coverage (such as Germany), this curse should be removed from the deck."
Curse of the Seventh Seal,Discard twelve curses.,No,TRUE,"Your current hiding time, excluding bonuses, is doubled. All remaining time this run is not doubled. ",Its not impossible but hard to get your hand size of thirteen and get twelve other curses - good luck.  This may be kept to the end of the game and play it after youve been found given that you have 12 other curses. 
Curse of the Data Leak,Discard 4 minutes worth of time bonuses.,No,TRUE,"For the rest of the run, seekers must tell you their route and destination every time they board any form of transit. They may not disembark at any other destination unless forced to.","""Route"" includes start and end destinations and the line of transit (if applicable.) If forced off a route for any reason, the hider must be notified immediately. Players may not discard part of a time bonus; they must discard cards in their entirety. It is possible that players may have to discard more than the required number of minutes in order to pay for this curse."
Curse of the Luxury Car,A photo of a car.,Yes,TRUE,Take a photo of a car. The seekers must take a photo of a more expensive car before asking another question.,"You must be able to identify the car in question when sending the photo, and the seekers must agree that it is, in fact, the car that you claim that it is. Use the MSRP of the car, factoring it its year of production, and disregarding any add-ons or modifications that may have been paid for. (For example: upgrades to the car's interior, special tires, custom colors, etc.) The photo sent to the seekers must include enough of the car for it to be identifiable. All of these rules also apply to the car found by the seekers. If you cannot confirm a car's exact production year or exact model, both sides must come to a consensus on which model and year to use for determining price."
Curse of the Seabird,Seekers must be off-transit within 1 km of a natural body of water. Make a photo of a bird under the same conditions.,Yes,TRUE,"Seekers must photograph a bird within 3 meters of a body of water. If, after 30 minutes, no bird has been photographed, this curse is automatically cleared.","""Body of water"" can be natural or manmade, but must be large enough to be visible on the mapping app you are using. ""Off-transit"" means that players have physically disembarked their last form of transit and that it has left the station (i.e. you cannot temporarily step off a train while it's stopped to fulfill the condition.)"
Curse of the Post Office,Seekers must be within 1 km of a post office that is open for the next hour. You must provide them with your home address.,Yes until done,TRUE,Seekers must successfully mail a letter with their next question in it to your home address before asking another question.,"After the letter has been mailed, they may also use any other form of communication to ask you the question."
Curse of the Passenger Princess,Discard two cards.,No,TRUE,"The hider selects one seeker to be the passenger princess for the next S 30 M 45 L 60 minutes. The other seeker is the driver.
The passenger princess is not permitted to carry their own belongings, do any research, hold any maps, or discuss the game in any way.
They may be involved in clearing curses if instructed to do so.","If there are more than two seekers, there is still only one passenger princess. If there is only one seeker, this card cannot be played. The passenger princess may speak to the other seeker(s) as normal, but must effectively act as though the game does not exist and cannot provide any substantive commentary that could help the other players in any way."
Curse of the Landline Metric,Seekers must be at least 6 km from you.,No,TRUE,"For the next 35 minutes , seekers may only use their phone for game-related purposes while it is charging via a wall outlet.",
Curse of the Strider,Travel a distance on foot.,Yes,TRUE,"Walk or run any total distance over the course of 30 minutes. The seekers must travel that same distance together, on foot before asking another question (e.g. the hider runs 3 miles, the seekers must each walk/run 3 miles.)",
Curse of the Divine Blessing,Discard 9 curses.,No,FALSE,"For the rest of the round, keep all cards drawn. Hand size limit still applies.",
Curse of the Okaihau Express,Discard three time bonuses.,Yes,TRUE,"Seekers must record and send a video of themselves singing the first seventeen rows, memorized lyrics of Okaihau Express by Peter Cape-without any outside support-before asking another question. It is up to you, however, to prove if they have made a mistake. ","The full lyrics are as follows:
She starts out from Otiria, the smallest train you've seen
This is the Okaihau Express
An engine and a guardsvan with a carriage in between
This is the Okaihau Express

The driver doesn't worry if he takes the journey slow
Driving the Okaihau Express
He's got all day to do it in and 30 miles to go
Driving the Okaihau Express

She was goin' round the bend doin' 10 miles an hour
The whistle began to shriek
Well she caught that bull in the middle of the brisket
And the engine smelled of steak for a week

There's puppies in an apple box, pippies in a sack
Riding the Okaihau Express
But no-one knows the difference when they're drippin' from the rack
Riding the Okaihau Express

She stops at lake Omapere, to take some water in
This is the Okaihau Express
The fireman takes a bucket, the driver takes a swim
This is the Okaihau Express

Okaihau to Otiria, it's just a single track
This is the Okaihau Express
You can't turn it at the terminus, you just reverse her back
This is the Okaihau Express"
Curse of the Non-Dominant Hand,Discard a card.,No,TRUE,"For the next S 30 M 45 L 60 minutes, seekers may not use their dominant hand for any game-related task. That includes using their phone, completing a challenge, or writing anything on a map. If you're ambidextrous, choose a hand.",
Curse of the Strongman,Do X push-ups.,Yes,TRUE,"One hider completes as many push-ups as they can over the course of 15 minutes. They may use any standard of push-up (ie, using knees, chest touches ground, chest touches fist, etc.) The seekers must collectively do this many push-ups of the same standard before asking another question.",
Curse of the Anonymous Benefactor,Donate money under the same circumstances.,Yes,TRUE,Seekers must place one dollar/euro/pound (or your country's equivalent) in a public place and confirm that it has been taken by a stranger before asking another question. Seekers cannot speak directly to any strangers about the money.,
Curse of the Zipped Lip,Discard a powerup. ,No,TRUE,"Seekers can onlu communicate to one another thorgh gestures and closed-mouth non-word sounds for the next 10 minutes. They can speak to other people, but cannot speak or write any message intended for another seeker. ",
